s_q, ground_truth, estimate, latency
ALE,10836,18484.908203125,0.0016987323760986328
ZU,10880,91801.6328125,0.0016357898712158203
STLE,10867,21754.51171875,0.0016090869903564453
RO,86736,26078.216796875,0.0015995502471923828
VENDE,10938,19125.576171875,0.0016217231750488281
BEIGE,10876,15324.5419921875,0.0017421245574951172
GHO,10831,21203.462890625,0.001556396484375
RP,10926,17693.615234375,0.0016446113586425781
YWOOD,10969,28435.455078125,0.001661062240600586
CC,10825,16477.814453125,0.001720428466796875
P,141195,17759.4453125,0.0015997886657714844
PER,10826,18360.150390625,0.0016112327575683594
NSBOR,10635,20418.66796875,0.0016057491302490234
IN,86289,22182.544921875,0.0016219615936279297
CREAM,10834,15912.890625,0.0017175674438476562
WO,10969,21516.796875,0.0015702247619628906
ASHE,10969,26916.44921875,0.0017130374908447266
MOCCASI,10825,21670.609375,0.0016009807586669922
SLATE,10822,19331.267578125,0.0015463829040527344
MISTY,10963,21839.677734375,0.0017120838165283203
SADDLE,10947,17887.693359375,0.0015611648559570312
AR,43274,19083.435546875,0.0017275810241699219
URL,10969,36189.20703125,0.0015940666198730469
EP,10782,68305.2265625,0.0016176700592041016
OT,10995,50810.015625,0.0016469955444335938
MON,32690,21166.833984375,0.0016851425170898438
TALLIC,10718,22237.234375,0.0015668869018554688
FIREBRIC,10904,22003.76953125,0.0017108917236328125
IAN,10657,27917.98046875,0.0016162395477294922
FROSTE,10800,21035.828125,0.0016055107116699219
RK,10723,117318.9140625,0.0015959739685058594
CCASI,10825,20977.9296875,0.0017192363739013672
ETALLI,10718,19537.328125,0.0015506744384765625
OCC,10825,17519.9453125,0.0016443729400634766
AVY,10880,28487.951171875,0.0016024112701416016
ASHEL,10969,26966.267578125,0.0016117095947265625
ORNF,10935,23319.40625,0.001608133316040039
ORY,10640,29363.509765625,0.0015990734100341797
RI,32456,17977.013671875,0.0016181468963623047
OWD,10905,22025.05859375,0.0015997886657714844
BI,10868,25129.7890625,0.0016129016876220703
AMARINE,10727,19935.400390625,0.001728057861328125
YAL,10756,15342.5576171875,0.0015976428985595703
LU,32303,30001.564453125,0.001630544662475586
OOD,10969,41529.015625,0.0017075538635253906
OL,43405,29444.943359375,0.0017292499542236328
CORNSI,10733,17175.8203125,0.001737833023071289
FLORAL,10804,20586.7421875,0.0016124248504638672
BRIC,10904,17437.16796875,0.0016052722930908203
PINK,10856,191262.984375,0.0016052722930908203
RANG,11007,19145.28515625,0.001631021499633789
AMAR,10727,20196.0703125,0.0017080307006835938
SIEN,10960,19171.466796875,0.0015671253204345703
REEN,10664,26718.982421875,0.0017273426055908203
COR,32604,17078.341796875,0.0016181468963623047
EY,21835,25075.732421875,0.001567840576171875
UOISE,11014,22472.361328125,0.0016946792602539062
RQUO,11014,24552.037109375,0.0016069412231445312
NT,32588,30378.3515625,0.0016083717346191406
DL,10947,21617.953125,0.001585245132446289
STED,10800,21718.982421875,0.001560211181640625
ETAL,10718,22090.12109375,0.0017037391662597656
CORA,10936,15915.1826171875,0.00160980224609375
INS,10635,20875.271484375,0.0016031265258789062
ORAN,11007,19850.673828125,0.001714468002319336
ORCH,11010,19564.494140625,0.0016307830810546875
ASIN,10825,16917.099609375,0.0015952587127685547
MAG,10828,21835.908203125,0.0016274452209472656
SIENNA,10960,21271.453125,0.0017049312591552734
YAN,11082,83532.3046875,0.001621246337890625
FON,10960,19436.470703125,0.0016748905181884766
AP,10912,23361.720703125,0.001645803451538086
ANGE,11007,19191.0234375,0.0017108917236328125
FRO,10800,24768.162109375,0.0016319751739501953
EDIUM,10852,24826.52734375,0.0016145706176757812
AZUR,10880,18714.220703125,0.0016064643859863281
TA,32621,383577.125,0.0016012191772460938
EAS,10969,23170.4375,0.0016188621520996094
ORCHID,11010,22781.90625,0.0015978813171386719
APAYA,10912,20726.708984375,0.001653432846069336
LOW,21927,25007.2890625,0.0017375946044921875
BISQUE,10868,17393.455078125,0.0016183853149414062
PRING,10825,25020.099609375,0.0015990734100341797
ODGER,11014,19291.4140625,0.0016663074493408203
ONEYDEW,10906,23266.826171875,0.0017313957214355469
OCOL,10957,16882.416015625,0.0017271041870117188
AD,10947,55738.9453125,0.0016200542449951172
REY,10929,19829.91796875,0.0078277587890625
NAVAJ,10922,28916.791015625,0.0018985271453857422
GAINSBO,10635,19198.162109375,0.0016374588012695312
AN,76542,31245.7890625,0.0017414093017578125
RNFLO,10935,18898.3046875,0.0016410350799560547
ICK,10904,23260.19140625,0.0017554759979248047
LIGHT,10820,29893.720703125,0.0017087459564208984
BRO,10976,26512.646484375,0.0016179084777832031
NR,10842,34677.51953125,0.0017485618591308594
GR,21593,21089.017578125,0.0015990734100341797
CHARTREU,10861,16816.453125,0.0017511844635009766
LANCHE,10965,24457.787109375,0.0017311573028564453
NCH,10965,20278.962890625,0.0017156600952148438
PL,21744,22606.40625,0.0016026496887207031
LL,32679,37021.2734375,0.0017480850219726562
MA,43668,25318.263671875,0.0016126632690429688
HART,10861,21851.302734375,0.001613616943359375
OW,54695,25918.767578125,0.0016405582427978516
UFF,10836,21068.673828125,0.0017116069793701172
IEN,10960,22072.201171875,0.001634359359741211
ENNA,10960,20110.67578125,0.0017337799072265625
IDN,11011,21779.298828125,0.0017285346984863281
IOL,10923,20040.14453125,0.0016734600067138672
MOKE,10736,20231.59765625,0.0017025470733642578
MIDNI,11011,21747.126953125,0.0016329288482666016
D,261694,18406.85546875,0.0016176700592041016
IU,10852,21890.974609375,0.0016040802001953125
YDE,10906,19150.087890625,0.0015819072723388672
TURQ,11014,19983.330078125,0.0017497539520263672
IS,54550,91104.3359375,0.0017428398132324219
ELLO,10992,22323.970703125,0.0017192363739013672
MIN,10891,29715.7578125,0.0016410350799560547
NAVA,10922,30575.615234375,0.0017516613006591797
OWDE,10905,23000.935546875,0.0017256736755371094
ANDY,10887,97694.375,0.0016841888427734375
PERU,10826,21745.80078125,0.0016617774963378906
FLO,21739,20699.33203125,0.0017313957214355469
NI,21849,23062.193359375,0.0017175674438476562
OCCA,10825,16998.509765625,0.0016150474548339844
KH,10729,24631.892578125,0.0016171932220458984
LUS,10614,29441.208984375,0.0016317367553710938
AT,43722,199780.8125,0.0016155242919921875
ENN,10960,27510.30078125,0.0016169548034667969
VEND,10938,19629.90625,0.0016770362854003906
CHIF,10960,30625.314453125,0.00170135498046875
EBRI,10904,19230.796875,0.0015780925750732422
ING,10825,22807.013671875,0.0017333030700683594
SHELL,10969,20044.76953125,0.0017178058624267578
LA,76233,20185.806640625,0.0017452239990234375
CHARTRE,10861,21155.591796875,0.0017304420471191406
DNIGHT,11011,17229.73046875,0.0017230510711669922
CORN,21668,17197.98046875,0.0016279220581054688
COL,10957,32423.62109375,0.0016274452209472656
W,109023,19192.486328125,0.0017588138580322266
SM,10736,87975.0546875,0.001741170883178711
CK,21773,15364.7548828125,0.0017573833465576172
OK,10736,211845.546875,0.0017244815826416016
HIFFON,10960,23380.154296875,0.0016624927520751953
ENT,10828,21850.57421875,0.0016198158264160156
SBO,10635,28596.66796875,0.0016238689422607422
WER,10935,18521.912109375,0.0016489028930664062
IREBRICK,10904,23554.08984375,0.0016598701477050781
LEMO,10893,22071.865234375,0.0017240047454833984
POWD,10905,18379.193359375,0.001720428466796875
ISE,11014,19208.599609375,0.0016207695007324219
STE,21548,25418.955078125,0.0016367435455322266
AYA,10912,19711.716796875,0.001722097396850586
NIGH,11011,21418.384765625,0.0015630722045898438
ROSTE,10800,19113.03125,0.001708984375
ANCHE,10965,15554.1748046875,0.0016093254089355469
WHIT,10885,27125.875,0.0016226768493652344
MEDI,10852,22629.982421875,0.0016241073608398438
DE,54373,20068.833984375,0.0017447471618652344
SNOW,10887,28681.71875,0.0016069412231445312
ARINE,10727,19326.087890625,0.0016207695007324219
SPRIN,10825,19851.58203125,0.0015659332275390625
ALM,21797,59054.7578125,0.0017180442810058594
AQ,10727,26212.13671875,0.0015926361083984375
ISHE,10838,16502.173828125,0.0017249584197998047
RNSIL,10733,17754.568359375,0.001631021499633789
HIFFO,10960,23688.39453125,0.0017108917236328125
TREU,10861,22072.98046875,0.0017173290252685547
BU,21807,40176.36328125,0.0016360282897949219
ALL,10718,15787.30859375,0.001627206802368164
IG,32707,52793.61328125,0.0016732215881347656
OLA,10957,26213.13671875,0.0017168521881103516
LEM,10893,27042.705078125,0.0016312599182128906
IFFO,10960,27270.01171875,0.001631021499633789
URN,10838,47144.203125,0.0017271041870117188
LD,10842,25150.048828125,0.001720428466796875
GE,43725,24960.8984375,0.0016391277313232422
BORO,10635,18489.05078125,0.0017604827880859375
NEN,10873,25573.33203125,0.0016753673553466797
CHA,10861,24584.462890625,0.0017428398132324219
OLDENR,10842,21078.4609375,0.0017321109771728516
ERU,10826,22085.025390625,0.0016145706176757812
LLI,10718,38315.61328125,0.0016312599182128906
QUO,11014,34029.34375,0.0016126632690429688
VIOLE,10923,19283.2109375,0.001626729965209961
CA,10825,22031.802734375,0.0017399787902832031
EASH,10969,27079.841796875,0.0016722679138183594
OST,21631,25310.658203125,0.0017275810241699219
LAN,10965,19451.732421875,0.0015614032745361328
DO,11014,22469.125,0.0016632080078125
INDI,10657,20395.935546875,0.0017194747924804688
TIQUE,10869,23662.25,0.0016357898712158203
ASI,10825,24095.900390625,0.0017285346984863281
DODGE,11014,20234.10546875,0.001608133316040039
EAM,10834,19471.146484375,0.001687765121459961
URQUOIS,11014,22888.048828125,0.0016770362854003906
ISQ,10868,17146.607421875,0.0017254352569580078
ANCHED,10965,15029.5712890625,0.001672983169555664
LDEN,10842,18412.89453125,0.0017118453979492188
DEW,10906,19801.2109375,0.0016407966613769531
GA,10635,57880.89453125,0.001668691635131836
CORNFLO,10935,16578.7890625,0.0017380714416503906
OSTED,10800,27251.60546875,0.00162506103515625
GOLDENRO,10842,21665.421875,0.0016558170318603516
RQUOISE,11014,26813.1484375,0.0017185211181640625
CREA,10834,14838.01953125,0.00164794921875
QUA,10727,25936.966796875,0.0015943050384521484
HISTLE,10867,22781.27734375,0.0017209053039550781
ROSE,10793,27412.0390625,0.0016474723815917969
EA,43431,31121.716796875,0.0017249584197998047
ORO,10635,30282.724609375,0.0016205310821533203
OMAT,11150,21240.51953125,0.0016319751739501953
SANDY,10887,16413.69921875,0.0016248226165771484
FFON,10960,22982.515625,0.0017452239990234375
BURNIS,10838,25526.42578125,0.0017321109771728516
IDNIGH,11011,22132.1484375,0.0017282962799072266
BURNISHE,10838,17116.708984375,0.001567840576171875
WOO,10969,24997.537109375,0.0017457008361816406
PEAC,10835,24442.1171875,0.001752614974975586
PE,21661,19217.798828125,0.0017278194427490234
HEAT,10793,15202.8349609375,0.0016379356384277344
SHED,10838,20319.5,0.0017697811126708984
AMARI,10727,19843.216796875,0.0017139911651611328
EEN,10664,20021.48046875,0.0016498565673828125
ARTREU,10861,21956.08203125,0.0017383098602294922
RNS,10733,22037.685546875,0.0017552375793457031
SMOKE,10736,20734.9140625,0.001573801040649414
PIN,10856,82716.90625,0.0017368793487548828
VE,21621,44096.33203125,0.0017311573028564453
BRICK,10904,22542.55078125,0.001646280288696289
WHITE,10885,21693.623046875,0.0017240047454833984
IV,21323,32259.2265625,0.0017347335815429688
ORANGE,11007,18846.056640625,0.0016410350799560547
K,97101,31399.298828125,0.0016291141510009766
INT,10891,20553.923828125,0.0017490386962890625
RNSILK,10733,20616.29296875,0.001734018325805664
LANCHED,10965,26938.37890625,0.001600503921508789
ARTREUS,10861,22056.83984375,0.0016679763793945312
MEDIUM,10852,23040.671875,0.0017306804656982422
URQUOI,11014,22098.9921875,0.0017638206481933594
HAK,10729,27816.830078125,0.0016224384307861328
CHART,10861,18194.318359375,0.0017392635345458984
LLIC,10718,36771.7265625,0.0017406940460205078
MIDNIGH,11011,20094.83984375,0.0017616748809814453
OS,43395,42526.17578125,0.0016300678253173828
AMARIN,10727,21785.384765625,0.0016436576843261719
CORNFLOW,10935,16034.0419921875,0.00176239013671875
AIN,10635,19992.689453125,0.0016217231750488281
DG,11014,21455.1015625,0.0017511844635009766
AVAJ,10922,24013.248046875,0.0017180442810058594
BISQ,10868,16732.052734375,0.0016257762908935547
TRE,10861,22343.138671875,0.0017364025115966797
YELL,10992,28057.2265625,0.0016188621520996094
CCAS,10825,21864.248046875,0.0016453266143798828
OCO,10957,21630.408203125,0.0016176700592041016
IUM,10852,17026.3515625,0.0016422271728515625
ORAL,21740,21806.5234375,0.002107381820678711
SEAS,10969,23942.564453125,0.0016782283782958984
SAND,10887,16547.6875,0.0017218589782714844
SI,32518,22924.486328125,0.0016274452209472656
IR,10904,19370.28125,0.0016529560089111328
FORES,10737,23506.11328125,0.001730203628540039
ISQUE,10868,21072.75390625,0.0016129016876220703
LOWE,10935,24167.98046875,0.0016205310821533203
YWOO,10969,29186.50390625,0.0016481876373291016
ALMO,21797,37175.7421875,0.0017588138580322266
HOCOL,10957,27257.1171875,0.0017592906951904297
DRAB,10938,17788.208984375,0.001750946044921875
FLOWER,10935,24266.2734375,0.001646280288696289
IGHT,21831,19310.392578125,0.0016438961029052734
NSI,10733,24016.408203125,0.0016853809356689453
NCHE,10965,18716.201171875,0.0016744136810302734
MED,10852,19456.240234375,0.001764059066772461
SK,10822,24210.01171875,0.0017333030700683594
PUF,10836,21924.404296875,0.0017366409301757812
GAINSBOR,10635,25784.943359375,0.0016422271728515625
ENTA,10828,26445.978515625,0.001645803451538086
CORNSILK,10733,20375.328125,0.0017600059509277344
ENDE,10938,20557.5703125,0.0017354488372802734
BLANCH,10965,19827.951171875,0.0016684532165527344
RQU,11014,23524.390625,0.0016827583312988281
AROON,10963,21548.873046875,0.0016884803771972656
ATO,11150,34814.04296875,0.001730203628540039
NTIQU,10869,19389.96484375,0.0016467571258544922
VIOLET,10923,28770.341796875,0.0017325878143310547
HIF,10960,17842.0,0.0017018318176269531
SALMON,10827,19575.205078125,0.001598358154296875
CH,65588,24514.296875,0.0017476081848144531
RNI,10838,17253.095703125,0.0016846656799316406
UOIS,11014,26472.3984375,0.0017478466033935547
INSBO,10635,21946.787109375,0.0015621185302734375
PA,32660,20284.78515625,0.0017402172088623047
LE,65392,20466.412109375,0.001644134521484375
MOCC,10825,18401.8359375,0.0016503334045410156
ORA,32747,19856.18359375,0.001608133316040039
SBOR,10635,19438.1015625,0.0015749931335449219
GENTA,10828,23882.3828125,0.0017290115356445312
NSB,10635,20284.533203125,0.0016198158264160156
NFLOWE,10935,21147.181640625,0.001657724380493164
MET,10718,19675.806640625,0.0017223358154296875
PUFF,10836,25194.38671875,0.0015938282012939453
DENROD,10842,23090.583984375,0.0017397403717041016
HON,10906,28788.126953125,0.0017681121826171875
TU,11014,69591.0703125,0.0017490386962890625
BUR,21807,20802.931640625,0.0017435550689697266
AGENT,10828,27610.916015625,0.0016491413116455078
URLYWO,10969,18427.615234375,0.00174713134765625
RING,10825,17670.193359375,0.0017504692077636719
TURQU,11014,27373.638671875,0.0017406940460205078
TAL,10718,86222.875,0.0017361640930175781
URLYWOOD,10969,21323.44921875,0.0016372203826904297
ACE,10907,26243.453125,0.0016391277313232422
LIC,10718,34257.109375,0.0032041072845458984
F,97772,23767.9140625,0.001955747604370117
NDY,10887,24811.8046875,0.001783609390258789
IGE,10876,26662.193359375,0.0016911029815673828
ENDER,10938,20247.0,0.0017704963684082031
AG,10828,26506.427734375,0.0017168521881103516
CORNF,10935,21076.029296875,0.0017766952514648438
MOC,10825,18730.96875,0.001779794692993164
VAJO,10922,21947.791015625,0.0016727447509765625
WHE,10793,24053.748046875,0.0017559528350830078
SILK,10733,18398.607421875,0.0017600059509277344
GEN,10828,25905.546875,0.0017244815826416016
TOMA,11150,40649.09765625,0.0016300678253173828
LIME,10785,21959.830078125,0.0017926692962646484
BLAC,10869,26876.408203125,0.0017266273498535156
YA,32750,26988.0078125,0.00174713134765625
ORNFL,10935,20632.873046875,0.0017414093017578125
HED,21803,95954.75,0.0017521381378173828
DY,10887,19928.95703125,0.0017287731170654297
ORES,10737,23454.587890625,0.0015909671783447266
LAV,10938,22670.744140625,0.0017311573028564453
LET,10923,26888.2265625,0.001577138900756836
RINE,10727,17059.376953125,0.0017282962799072266
LEMON,10893,19245.14453125,0.001749277114868164
AND,10887,317695.90625,0.0017538070678710938
RNSI,10733,17870.318359375,0.001718759536743164
TLE,10867,22174.318359375,0.0016179084777832031
FROSTED,10800,21439.00390625,0.0016841888427734375
LOR,10804,23893.158203125,0.0015869140625
LACK,10869,24538.880859375,0.001752614974975586
SPRING,10825,18351.58984375,0.001734018325805664
LUE,10871,33823.24609375,0.0015683174133300781
LIV,10683,21582.376953125,0.0017347335815429688
EIGE,10876,22971.25390625,0.0015714168548583984
SIN,10825,20026.0078125,0.0017490386962890625
TY,10963,166156.9375,0.0017464160919189453
LAVEND,10938,18518.16796875,0.0017580986022949219
SE,43637,20646.830078125,0.0016744136810302734
RLYWOOD,10969,23400.787109375,0.00176239013671875
ODG,11014,19150.416015625,0.0016956329345703125
HOCOLATE,10957,17768.474609375,0.0016875267028808594
SALM,10827,18509.091796875,0.0017559528350830078
NFLOWER,10935,23917.05078125,0.0015761852264404297
NDE,10938,24796.87890625,0.001749277114868164
ORNFLOW,10935,23648.89453125,0.001743316650390625
WOOD,10969,27425.244140625,0.0017437934875488281
HONEY,10906,22285.3203125,0.0016620159149169922
PRIN,10825,20635.6875,0.0017294883728027344
PAYA,10912,21818.33984375,0.0016589164733886719
LLOW,10992,30051.216796875,0.0016341209411621094
OND,10970,29079.51171875,0.0016400814056396484
REST,10737,21505.166015625,0.001725912094116211
DER,21843,21340.640625,0.0016450881958007812
ODGE,11014,19558.076171875,0.0017032623291015625
QUAMAR,10727,19581.703125,0.0017371177673339844
NN,10960,28578.15625,0.0017671585083007812
G,130282,31462.935546875,0.0017375946044921875
ANCH,10965,15592.1806640625,0.0016374588012695312
NSBORO,10635,22078.16015625,0.0013132095336914062
IL,10733,53476.94140625,0.0014023780822753906
RNISHED,10838,18486.689453125,0.0014190673828125
RNISHE,10838,18609.767578125,0.0013766288757324219
SALMO,10827,16723.24609375,0.0013916492462158203
RTREU,10861,19407.76171875,0.0014410018920898438
THI,10867,23326.279296875,0.0013611316680908203
METALLI,10718,20504.234375,0.0013957023620605469
CHOCOLAT,10957,74911.734375,0.0014595985412597656
FLOWE,10935,19972.298828125,0.0013997554779052734
LIGH,10820,28194.291015625,0.001374959945678711
GO,10842,18476.060546875,0.0013654232025146484
QUOIS,11014,30717.6875,0.0013995170593261719
BLACK,10869,21135.52734375,0.0013339519500732422
DGE,11014,24214.767578125,0.001413106918334961
HT,21831,54542.02734375,0.001384735107421875
BLA,21834,24004.5234375,0.0013887882232666016
ATE,21779,23061.86328125,0.0014121532440185547
OISE,11014,20477.326171875,0.0014042854309082031
GAI,10635,32316.099609375,0.0014677047729492188
WHEAT,10793,17671.103515625,0.0014078617095947266
PLU,10818,20263.111328125,0.0013911724090576172
CE,10907,12882.8427734375,0.0013852119445800781
RLY,10969,21621.787109375,0.0013852119445800781
ISTL,10867,23572.24609375,0.0013523101806640625
REUS,10861,19583.626953125,0.001401662826538086
CASI,10825,17812.212890625,0.0013854503631591797
NEYDE,10906,23083.03125,0.0014061927795410156
DNIG,11011,19820.06640625,0.0014193058013916016
RLYWOO,10969,23042.626953125,0.0013682842254638672
CORNSIL,10733,20258.53125,0.0014090538024902344
NFLOW,10935,22304.60546875,0.00140380859375
RA,43685,23667.6875,0.0013587474822998047
IVORY,10640,17285.90234375,0.0013937950134277344
COLAT,10957,24904.212890625,0.0013780593872070312
ONEY,10906,21901.958984375,0.001377105712890625
AV,32740,19035.23046875,0.001390218734741211
AWN,10775,23284.072265625,0.0014379024505615234
DARK,10723,19164.521484375,0.0013790130615234375
IA,10657,25564.845703125,0.0013701915740966797
OWN,10976,23243.20703125,0.001369476318359375
NISHE,10838,25056.84765625,0.0013756752014160156
FFO,10960,22858.20703125,0.0013780593872070312
FOR,10737,23521.451171875,0.0014071464538574219
IF,10960,19307.37109375,0.0013856887817382812
NDIA,10657,23105.9375,0.0014345645904541016
SB,10635,43339.7109375,0.0014045238494873047
INSBOR,10635,20679.28515625,0.0013854503631591797
SNO,10887,26926.333984375,0.0013918876647949219
BRI,10904,18848.9140625,0.0013737678527832031
FOREST,10737,23761.681640625,0.0014221668243408203
OLDE,10842,20474.494140625,0.0013952255249023438
OY,10756,42595.98828125,0.0013637542724609375
APAY,10912,22120.4375,0.0013873577117919922
FI,10904,22297.119140625,0.0014102458953857422
NRO,10842,25168.619140625,0.0014011859893798828
NOW,10887,27776.431640625,0.0013973712921142578
RNF,10935,18316.69140625,0.001425027847290039
ONEYDE,10906,25613.84765625,0.0013687610626220703
THIST,10867,23422.533203125,0.0014150142669677734
SL,10822,15572.68359375,0.00136566162109375
KY,10822,22466.126953125,0.001369476318359375
RNFLOW,10935,22353.134765625,0.0014073848724365234
PI,10856,57446.83984375,0.0013895034790039062
BE,10876,25246.892578125,0.001386404037475586
ARO,10963,17112.3828125,0.0013957023620605469
INSB,10635,17540.44140625,0.0014104843139648438
SPR,10825,22405.6171875,0.0013973712921142578
AL,75847,26469.4453125,0.0014111995697021484
AGENTA,10828,21753.828125,0.001390218734741211
DA,10723,25062.91796875,0.0014140605926513672
EUSE,10861,21021.91015625,0.001407623291015625
POW,10905,17809.01953125,0.0013959407806396484
RTREUS,10861,18986.642578125,0.0014145374298095703
MAT,11150,20853.125,0.0014460086822509766
OCOLAT,10957,22328.931640625,0.0013818740844726562
TO,22300,82273.734375,0.001379251480102539
KI,10729,39712.4609375,0.0014026165008544922
ALLI,10718,21435.794921875,0.001394510269165039
TAN,11075,59843.2578125,0.0014181137084960938
ENRO,10842,29318.68359375,0.0013849735260009766
RQUOI,11014,26330.6953125,0.0014581680297851562
HARTRE,10861,20622.68359375,0.0014507770538330078
FIRE,10904,20547.671875,0.001377105712890625
RNFLOWER,10935,21555.1640625,0.0013954639434814453
RNFLOWE,10935,19142.3828125,0.0014438629150390625
RTR,10861,19469.234375,0.0014078617095947266
BURNI,10838,22758.5625,0.0013976097106933594
IDNI,11011,24433.14453125,0.0014090538024902344
DAR,10723,19178.26953125,0.0014736652374267578
TREUSE,10861,22194.775390625,0.0014085769653320312
SAN,10887,27261.45703125,0.0014040470123291016
QUE,21737,52914.73828125,0.0014319419860839844
EACH,10835,23466.53515625,0.0014226436614990234
RIN,21552,17826.7421875,0.0014369487762451172
SHEL,10969,24276.57421875,0.0013918876647949219
ARTREUSE,10861,22486.595703125,0.0014204978942871094
MO,54251,20813.30859375,0.0014462471008300781
PAPAY,10912,20423.322265625,0.0013630390167236328
ORN,21668,26469.646484375,0.0014102458953857422
FO,21697,24982.998046875,0.0014231204986572266
DNIGH,11011,18874.259765625,0.0013909339904785156
SY,10971,18338.958984375,0.001394033432006836
VENDER,10938,17581.0703125,0.001405477523803711
LDE,10842,24360.390625,0.0013849735260009766
HARTREUS,10861,24999.443359375,0.0014362335205078125
MOCCAS,10825,26598.703125,0.0014090538024902344
SMOK,10736,23012.037109375,0.0013887882232666016
B,130323,44667.9375,0.0014209747314453125
NISHED,10838,25537.48046875,0.001432657241821289
LYWO,10969,28500.6953125,0.0014231204986572266
PRI,10825,22936.53515625,0.008240461349487305
BEIG,10876,15853.9814453125,0.0015859603881835938
LIN,10873,23351.763671875,0.0014102458953857422
SLAT,10822,18790.8359375,0.0014331340789794922
TOM,11150,35417.734375,0.001440286636352539
ASH,10969,29697.1171875,0.0013735294342041016
MIDNIGHT,11011,18090.81640625,0.001383066177368164
BURLY,10969,19852.037109375,0.0014662742614746094
UAMARINE,10727,15717.3037109375,0.0013904571533203125
BURL,10969,18675.62109375,0.0013997554779052734
DLE,10947,20182.091796875,0.0014011859893798828
OYA,10756,19096.26953125,0.0014066696166992188
RES,10737,23703.0390625,0.0013806819915771484
L,401771,22028.50390625,0.001382589340209961
