s_q,d,true_count,est_count,latency
COR,0,32604,31209.0,9.5367431640625e-05
EY,0,21835,21320.0,9.560585021972656e-05
UOISE,0,11014,11014.0,0.00010395050048828125
RQUO,0,11014,11014.0,9.679794311523438e-05
NT,0,32588,31208.0,9.322166442871094e-05
DL,0,10947,10947.0,9.441375732421875e-05
STED,0,10800,10800.0,9.274482727050781e-05
ETAL,0,10718,10718.0,9.34600830078125e-05
CORA,0,10936,10936.0,9.250640869140625e-05
INS,0,10635,10635.0,9.226799011230469e-05
ORAN,0,11007,11007.0,9.369850158691406e-05
ORCH,0,11010,11010.0,0.0001068115234375
ASIN,0,10825,10825.0,8.821487426757812e-05
MAG,0,10828,10828.0,9.703636169433594e-05
SIENNA,0,10960,10960.0,0.0001049041748046875
YAN,0,11082,11082.0,8.869171142578125e-05
FON,0,10960,10960.0,8.678436279296875e-05
AP,0,10912,10912.0,8.559226989746094e-05
ANGE,0,11007,11007.0,8.654594421386719e-05
FRO,0,10800,10800.0,8.678436279296875e-05
EDIUM,0,10852,10852.0,8.726119995117188e-05
AZUR,0,10880,10880.0,8.678436279296875e-05
TA,0,32621,31170.0,8.58306884765625e-05
EAS,0,10969,10969.0,8.678436279296875e-05
ORCHID,0,11010,11010.0,0.00010323524475097656
APAYA,0,10912,10912.0,8.940696716308594e-05
LOW,0,21927,21387.0,8.58306884765625e-05
BISQUE,0,10868,10868.0,0.00010251998901367188
PRING,0,10825,10825.0,8.940696716308594e-05
ODGER,0,11014,11014.0,8.7738037109375e-05
ONEYDEW,0,10906,10906.0,0.00010514259338378906
OCOL,0,10957,10957.0,0.00011873245239257812
AD,0,10947,10947.0,9.5367431640625e-05
REY,0,10929,10929.0,9.393692016601562e-05
NAVAJ,0,10922,10922.0,9.34600830078125e-05
GAINSBO,0,10635,10635.0,0.00011682510375976562
AN,0,76542,66922.0,9.655952453613281e-05
RNFLO,0,10935,10935.0,9.322166442871094e-05
ICK,0,10904,10904.0,9.369850158691406e-05
LIGHT,0,10820,10820.0,9.393692016601562e-05
BRO,0,10976,10976.0,9.34600830078125e-05
NR,0,10842,10842.0,9.369850158691406e-05
GR,0,21593,21148.0,9.274482727050781e-05
CHARTREU,0,10861,10861.0,0.00012803077697753906
LANCHE,0,10965,10965.0,0.00010347366333007812
NCH,0,10965,10965.0,9.298324584960938e-05
PL,0,21744,21275.0,8.7738037109375e-05
LL,0,32679,31237.0,8.678436279296875e-05
MA,0,43668,40808.0,8.678436279296875e-05
HART,0,10861,10861.0,8.749961853027344e-05
OW,0,54695,49990.0,8.606910705566406e-05
UFF,0,10836,10836.0,8.702278137207031e-05
IEN,0,10960,10960.0,8.7738037109375e-05
ENNA,0,10960,10960.0,9.274482727050781e-05
IDN,0,11011,11011.0,8.797645568847656e-05
IOL,0,10923,10923.0,8.726119995117188e-05
MOKE,0,10736,10736.0,8.749961853027344e-05
MIDNI,0,11011,11011.0,8.749961853027344e-05
D,0,261694,147196.0,8.726119995117188e-05
IU,0,10852,10852.0,8.678436279296875e-05
YDE,0,10906,10906.0,8.630752563476562e-05
TURQ,0,11014,11014.0,8.726119995117188e-05
IS,0,54550,49903.0,8.654594421386719e-05
ELLO,0,10992,10992.0,8.630752563476562e-05
MIN,0,10891,10891.0,8.654594421386719e-05
NAVA,0,10922,10922.0,8.606910705566406e-05
OWDE,0,10905,10905.0,0.00010895729064941406
ANDY,0,10887,10887.0,8.893013000488281e-05
PERU,0,10826,10826.0,8.797645568847656e-05
FLO,0,21739,21255.0,8.845329284667969e-05
NI,0,21849,21352.0,9.083747863769531e-05
OCCA,0,10825,10825.0,8.749961853027344e-05
KH,0,10729,10729.0,8.702278137207031e-05
LUS,0,10614,10614.0,8.797645568847656e-05
AT,0,43722,40957.0,9.989738464355469e-05
ENN,0,10960,10960.0,8.893013000488281e-05
VEND,0,10938,10938.0,8.678436279296875e-05
CHIF,0,10960,10960.0,0.00010967254638671875
EBRI,0,10904,10904.0,9.322166442871094e-05
ING,0,10825,10825.0,9.226799011230469e-05
SHELL,0,10969,10969.0,9.298324584960938e-05
LA,0,76233,66843.0,9.1552734375e-05
CHARTRE,0,10861,10861.0,0.00011229515075683594
DNIGHT,0,11011,11011.0,0.00011134147644042969
CORN,0,21668,21212.0,0.0001404285430908203
COL,0,10957,10957.0,9.632110595703125e-05
W,0,109023,89229.0,9.489059448242188e-05
SM,0,10736,10736.0,9.369850158691406e-05
CK,0,21773,21267.0,9.226799011230469e-05
OK,0,10736,10736.0,9.870529174804688e-05
HIFFON,0,10960,10960.0,0.00010347366333007812
ENT,0,10828,10828.0,8.869171142578125e-05
SBO,0,10635,10635.0,8.630752563476562e-05
WER,0,10935,10935.0,8.559226989746094e-05
IREBRICK,0,10904,10904.0,0.00011658668518066406
LEMO,0,10893,10893.0,9.512901306152344e-05
POWD,0,10905,10905.0,8.916854858398438e-05
ISE,0,11014,11014.0,8.869171142578125e-05
STE,0,21548,21066.0,8.702278137207031e-05
AYA,0,10912,10912.0,9.1552734375e-05
NIGH,0,11011,11011.0,8.845329284667969e-05
ROSTE,0,10800,10800.0,8.821487426757812e-05
ANCHE,0,10965,10965.0,8.749961853027344e-05
WHIT,0,10885,10885.0,8.7738037109375e-05
MEDI,0,10852,10852.0,8.749961853027344e-05
DE,0,54373,49743.0,8.678436279296875e-05
SNOW,0,10887,10887.0,8.726119995117188e-05
ARINE,0,10727,10727.0,8.821487426757812e-05
SPRIN,0,10825,10825.0,8.7738037109375e-05
ALM,0,21797,21345.0,9.202957153320312e-05
AQ,0,10727,10727.0,8.654594421386719e-05
ISHE,0,10838,10838.0,8.702278137207031e-05
RNSIL,0,10733,10733.0,8.797645568847656e-05
HIFFO,0,10960,10960.0,8.654594421386719e-05
TREU,0,10861,10861.0,8.7738037109375e-05
BU,0,21807,21367.0,8.726119995117188e-05
ALL,0,10718,10718.0,0.00010728836059570312
IG,0,32707,31344.0,8.893013000488281e-05
OLA,0,10957,10957.0,8.702278137207031e-05
LEM,0,10893,10893.0,8.702278137207031e-05
IFFO,0,10960,10960.0,8.702278137207031e-05
URN,0,10838,10838.0,8.654594421386719e-05
LD,0,10842,10842.0,8.606910705566406e-05
GE,0,43725,40944.0,8.630752563476562e-05
BORO,0,10635,10635.0,9.083747863769531e-05
NEN,0,10873,10873.0,8.7738037109375e-05
CHA,0,10861,10861.0,8.678436279296875e-05
OLDENR,0,10842,10842.0,0.00010776519775390625
ERU,0,10826,10826.0,9.083747863769531e-05
LLI,0,10718,10718.0,8.749961853027344e-05
QUO,0,11014,11014.0,8.654594421386719e-05
VIOLE,0,10923,10923.0,8.749961853027344e-05
CA,0,10825,10825.0,8.678436279296875e-05
EASH,0,10969,10969.0,8.797645568847656e-05
OST,0,21631,21146.0,8.7738037109375e-05
LAN,0,10965,10965.0,8.654594421386719e-05
DO,0,11014,11014.0,8.702278137207031e-05
INDI,0,10657,10657.0,9.202957153320312e-05
TIQUE,0,10869,10869.0,8.845329284667969e-05
ASI,0,10825,10825.0,8.749961853027344e-05
DODGE,0,11014,11014.0,8.726119995117188e-05
EAM,0,10834,10834.0,8.749961853027344e-05
URQUOIS,0,11014,11014.0,0.00010657310485839844
ISQ,0,10868,10868.0,9.012222290039062e-05
ANCHED,0,10965,10965.0,0.00010275840759277344
LDEN,0,10842,10842.0,8.869171142578125e-05
DEW,0,10906,10906.0,8.7738037109375e-05
GA,0,10635,10635.0,8.726119995117188e-05
CORNFLO,0,10935,10935.0,0.00010657310485839844
OSTED,0,10800,10800.0,8.96453857421875e-05
GOLDENRO,0,10842,10842.0,0.00010895729064941406
RQUOISE,0,11014,11014.0,0.00010538101196289062
CREA,0,10834,10834.0,8.96453857421875e-05
QUA,0,10727,10727.0,8.726119995117188e-05
HISTLE,0,10867,10867.0,0.00010228157043457031
ROSE,0,10793,10793.0,8.869171142578125e-05
EA,0,43431,40680.0,9.1552734375e-05
ORO,0,10635,10635.0,8.749961853027344e-05
OMAT,0,11150,11150.0,9.202957153320312e-05
SANDY,0,10887,10887.0,9.632110595703125e-05
FFON,0,10960,10960.0,9.250640869140625e-05
BURNIS,0,10838,10838.0,0.00010442733764648438
IDNIGH,0,11011,11011.0,0.00010323524475097656
BURNISHE,0,10838,10838.0,0.00010848045349121094
WOO,0,10969,10969.0,9.036064147949219e-05
PEAC,0,10835,10835.0,8.893013000488281e-05
PE,0,21661,21160.0,8.749961853027344e-05
HEAT,0,10793,10793.0,8.702278137207031e-05
SHED,0,10838,10838.0,8.678436279296875e-05
AMARI,0,10727,10727.0,8.702278137207031e-05
EEN,0,10664,10664.0,8.702278137207031e-05
ARTREU,0,10861,10861.0,0.00010204315185546875
RNS,0,10733,10733.0,8.797645568847656e-05
SMOKE,0,10736,10736.0,8.749961853027344e-05
PIN,0,10856,10856.0,8.654594421386719e-05
VE,0,21621,21140.0,8.559226989746094e-05
BRICK,0,10904,10904.0,8.606910705566406e-05
WHITE,0,10885,10885.0,9.083747863769531e-05
IV,0,21323,20821.0,8.869171142578125e-05
ORANGE,0,11007,11007.0,0.00011014938354492188
K,0,97101,74007.0,9.274482727050781e-05
INT,0,10891,10891.0,8.893013000488281e-05
RNSILK,0,10733,10733.0,0.00010395050048828125
LANCHED,0,10965,10965.0,0.00010538101196289062
ARTREUS,0,10861,10861.0,0.00012087821960449219
MEDIUM,0,10852,10852.0,0.00010919570922851562
URQUOI,0,11014,11014.0,0.00010776519775390625
HAK,0,10729,10729.0,9.465217590332031e-05
CHART,0,10861,10861.0,9.250640869140625e-05
LLIC,0,10718,10718.0,9.298324584960938e-05
MIDNIGH,0,11011,11011.0,0.00011563301086425781
OS,0,43395,40598.0,9.679794311523438e-05
AMARIN,0,10727,10727.0,0.00011181831359863281
CORNFLOW,0,10935,10935.0,0.00011467933654785156
AIN,0,10635,10635.0,9.489059448242188e-05
DG,0,11014,11014.0,9.34600830078125e-05
AVAJ,0,10922,10922.0,9.34600830078125e-05
BISQ,0,10868,10868.0,9.298324584960938e-05
TRE,0,10861,10861.0,9.34600830078125e-05
YELL,0,10992,10992.0,9.417533874511719e-05
CCAS,0,10825,10825.0,0.00015997886657714844
OCO,0,10957,10957.0,9.5367431640625e-05
IUM,0,10852,10852.0,0.00010061264038085938
ORAL,0,21740,21239.0,8.7738037109375e-05
SEAS,0,10969,10969.0,8.678436279296875e-05
SAND,0,10887,10887.0,8.702278137207031e-05
SI,0,32518,31078.0,8.726119995117188e-05
IR,0,10904,10904.0,8.58306884765625e-05
FORES,0,10737,10737.0,8.702278137207031e-05
ISQUE,0,10868,10868.0,8.678436279296875e-05
LOWE,0,10935,10935.0,8.702278137207031e-05
YWOO,0,10969,10969.0,8.702278137207031e-05
ALMO,0,21797,21345.0,8.702278137207031e-05
HOCOL,0,10957,10957.0,8.845329284667969e-05
DRAB,0,10938,10938.0,8.678436279296875e-05
FLOWER,0,10935,10935.0,0.0001251697540283203
IGHT,0,21831,21366.0,9.465217590332031e-05
NSI,0,10733,10733.0,9.34600830078125e-05
NCHE,0,10965,10965.0,9.322166442871094e-05
MED,0,10852,10852.0,9.34600830078125e-05
SK,0,10822,10822.0,9.679794311523438e-05
PUF,0,10836,10836.0,9.751319885253906e-05
GAINSBOR,0,10635,10635.0,0.00012040138244628906
ENTA,0,10828,10828.0,9.703636169433594e-05
CORNSILK,0,10733,10733.0,0.00011587142944335938
ENDE,0,10938,10938.0,9.560585021972656e-05
BLANCH,0,10965,10965.0,0.00010895729064941406
RQU,0,11014,11014.0,9.512901306152344e-05
AROON,0,10963,10963.0,0.00011682510375976562
ATO,0,11150,11150.0,9.322166442871094e-05
NTIQU,0,10869,10869.0,9.393692016601562e-05
VIOLET,0,10923,10923.0,0.00010991096496582031
HIF,0,10960,10960.0,9.393692016601562e-05
SALMON,0,10827,10827.0,0.00011014938354492188
CH,0,65588,58630.0,9.393692016601562e-05
RNI,0,10838,10838.0,9.322166442871094e-05
UOIS,0,11014,11014.0,9.250640869140625e-05
INSBO,0,10635,10635.0,9.298324584960938e-05
PA,0,32660,21254.0,9.226799011230469e-05
LE,0,65392,58653.0,9.107589721679688e-05
MOCC,0,10825,10825.0,0.00010061264038085938
ORA,0,32747,31313.0,0.00010132789611816406
SBOR,0,10635,10635.0,9.274482727050781e-05
GENTA,0,10828,10828.0,8.797645568847656e-05
NSB,0,10635,10635.0,8.678436279296875e-05
NFLOWE,0,10935,10935.0,0.00010275840759277344
MET,0,10718,10718.0,8.869171142578125e-05
PUFF,0,10836,10836.0,0.00010561943054199219
DENROD,0,10842,10842.0,0.00010967254638671875
HON,0,10906,10906.0,9.441375732421875e-05
TU,0,11014,11014.0,9.179115295410156e-05
BUR,0,21807,21367.0,9.202957153320312e-05
AGENT,0,10828,10828.0,9.560585021972656e-05
URLYWO,0,10969,10969.0,0.00011396408081054688
RING,0,10825,10825.0,9.632110595703125e-05
TURQU,0,11014,11014.0,9.369850158691406e-05
TAL,0,10718,10718.0,9.250640869140625e-05
URLYWOOD,0,10969,10969.0,0.00011467933654785156
ACE,0,10907,10907.0,9.584426879882812e-05
LIC,0,10718,10718.0,9.322166442871094e-05
F,0,97772,66665.0,9.393692016601562e-05
NDY,0,10887,10887.0,9.369850158691406e-05
IGE,0,10876,10876.0,9.369850158691406e-05
ENDER,0,10938,10938.0,9.846687316894531e-05
AG,0,10828,10828.0,0.00010228157043457031
CORNF,0,10935,10935.0,8.702278137207031e-05
MOC,0,10825,10825.0,8.797645568847656e-05
VAJO,0,10922,10922.0,8.702278137207031e-05
WHE,0,10793,10793.0,8.606910705566406e-05
SILK,0,10733,10733.0,8.606910705566406e-05
GEN,0,10828,10828.0,8.606910705566406e-05
TOMA,0,11150,11150.0,8.678436279296875e-05
LIME,0,10785,10785.0,8.678436279296875e-05
BLAC,0,10869,10869.0,0.00010633468627929688
YA,0,32750,31333.0,9.179115295410156e-05
ORNFL,0,10935,10935.0,9.202957153320312e-05
HED,0,21803,21330.0,9.250640869140625e-05
DY,0,10887,10887.0,9.131431579589844e-05
ORES,0,10737,10737.0,9.226799011230469e-05
LAV,0,10938,10938.0,9.679794311523438e-05
LET,0,10923,10923.0,9.250640869140625e-05
RINE,0,10727,10727.0,9.965896606445312e-05
LEMON,0,10893,10893.0,0.00010275840759277344
AND,0,10887,10887.0,9.322166442871094e-05
RNSI,0,10733,10733.0,9.894371032714844e-05
TLE,0,10867,10867.0,0.00010418891906738281
FROSTED,0,10800,10800.0,0.00011134147644042969
LOR,0,10804,10804.0,0.00011205673217773438
LACK,0,10869,10869.0,9.34600830078125e-05
SPRING,0,10825,10825.0,0.00011038780212402344
LUE,0,10871,10871.0,9.655952453613281e-05
LIV,0,10683,10683.0,9.441375732421875e-05
EIGE,0,10876,10876.0,9.298324584960938e-05
SIN,0,10825,10825.0,9.322166442871094e-05
TY,0,10963,10963.0,9.34600830078125e-05
LAVEND,0,10938,10938.0,0.00010991096496582031
SE,0,43637,40835.0,0.00011181831359863281
RLYWOOD,0,10969,10969.0,0.00011491775512695312
ODG,0,11014,11014.0,0.00010800361633300781
HOCOLATE,0,10957,10957.0,0.00011515617370605469
SALM,0,10827,10827.0,9.5367431640625e-05
NFLOWER,0,10935,10935.0,0.00011181831359863281
NDE,0,10938,10938.0,9.512901306152344e-05
ORNFLOW,0,10935,10935.0,0.000110626220703125
WOOD,0,10969,10969.0,0.00010085105895996094
HONEY,0,10906,10906.0,9.417533874511719e-05
PRIN,0,10825,10825.0,9.369850158691406e-05
PAYA,0,10912,10912.0,9.393692016601562e-05
LLOW,0,10992,10992.0,9.369850158691406e-05
OND,0,10970,10970.0,9.322166442871094e-05
REST,0,10737,10737.0,9.274482727050781e-05
DER,0,21843,21375.0,9.894371032714844e-05
ODGE,0,11014,11014.0,9.393692016601562e-05
QUAMAR,0,10727,10727.0,0.00011944770812988281
NN,0,10960,10960.0,8.940696716308594e-05
G,0,130282,102177.0,8.726119995117188e-05
ANCH,0,10965,10965.0,0.0001125335693359375
NSBORO,0,10635,10635.0,0.00010943412780761719
IL,0,10733,10733.0,9.1552734375e-05
RNISHED,0,10838,10838.0,0.00010824203491210938
RNISHE,0,10838,10838.0,0.00012826919555664062
SALMO,0,10827,10827.0,9.799003601074219e-05
RTREU,0,10861,10861.0,9.465217590332031e-05
THI,0,10867,10867.0,9.512901306152344e-05
METALLI,0,10718,10718.0,0.00011396408081054688
CHOCOLAT,0,10957,10957.0,0.00012135505676269531
FLOWE,0,10935,10935.0,9.655952453613281e-05
LIGH,0,10820,10820.0,9.369850158691406e-05
GO,0,10842,10842.0,9.393692016601562e-05
QUOIS,0,11014,11014.0,9.250640869140625e-05
BLACK,0,10869,10869.0,9.322166442871094e-05
DGE,0,11014,11014.0,9.298324584960938e-05
HT,0,21831,21366.0,9.202957153320312e-05
BLA,0,21834,21350.0,9.274482727050781e-05
ATE,0,21779,21321.0,9.322166442871094e-05
OISE,0,11014,11014.0,9.322166442871094e-05
GAI,0,10635,10635.0,9.298324584960938e-05
WHEAT,0,10793,10793.0,9.34600830078125e-05
PLU,0,10818,10818.0,9.393692016601562e-05
CE,0,10907,10907.0,9.298324584960938e-05
RLY,0,10969,10969.0,0.00010180473327636719
ISTL,0,10867,10867.0,8.893013000488281e-05
REUS,0,10861,10861.0,9.059906005859375e-05
CASI,0,10825,10825.0,8.702278137207031e-05
NEYDE,0,10906,10906.0,8.726119995117188e-05
DNIG,0,11011,11011.0,8.678436279296875e-05
RLYWOO,0,10969,10969.0,0.00010943412780761719
CORNSIL,0,10733,10733.0,0.00011277198791503906
NFLOW,0,10935,10935.0,8.940696716308594e-05
RA,0,43685,40851.0,8.726119995117188e-05
IVORY,0,10640,10640.0,8.702278137207031e-05
COLAT,0,10957,10957.0,8.726119995117188e-05
ONEY,0,10906,10906.0,8.749961853027344e-05
AV,0,32740,31286.0,8.726119995117188e-05
AWN,0,10775,10775.0,8.869171142578125e-05
DARK,0,10723,10723.0,8.749961853027344e-05
IA,0,10657,10657.0,8.7738037109375e-05
OWN,0,10976,10976.0,8.726119995117188e-05
NISHE,0,10838,10838.0,8.702278137207031e-05
FFO,0,10960,10960.0,8.630752563476562e-05
FOR,0,10737,10737.0,8.654594421386719e-05
IF,0,10960,10960.0,8.559226989746094e-05
NDIA,0,10657,10657.0,9.942054748535156e-05
SB,0,10635,10635.0,8.845329284667969e-05
INSBOR,0,10635,10635.0,0.00010395050048828125
SNO,0,10887,10887.0,8.916854858398438e-05
BRI,0,10904,10904.0,8.678436279296875e-05
FOREST,0,10737,10737.0,0.00010776519775390625
OLDE,0,10842,10842.0,9.1552734375e-05
OY,0,10756,10756.0,8.797645568847656e-05
APAY,0,10912,10912.0,8.749961853027344e-05
FI,0,10904,10904.0,9.822845458984375e-05
NRO,0,10842,10842.0,0.00012636184692382812
NOW,0,10887,10887.0,0.00013828277587890625
RNF,0,10935,10935.0,0.00010538101196289062
ONEYDE,0,10906,10906.0,0.00010848045349121094
THIST,0,10867,10867.0,9.036064147949219e-05
SL,0,10822,10822.0,8.845329284667969e-05
KY,0,10822,10822.0,8.678436279296875e-05
RNFLOW,0,10935,10935.0,0.0001068115234375
PI,0,10856,10856.0,9.131431579589844e-05
BE,0,10876,10876.0,8.7738037109375e-05
ARO,0,10963,10963.0,8.726119995117188e-05
INSB,0,10635,10635.0,8.821487426757812e-05
SPR,0,10825,10825.0,8.7738037109375e-05
AL,0,75847,66507.0,8.845329284667969e-05
AGENTA,0,10828,10828.0,0.00010395050048828125
DA,0,10723,10723.0,8.96453857421875e-05
EUSE,0,10861,10861.0,8.96453857421875e-05
POW,0,10905,10905.0,0.00011277198791503906
RTREUS,0,10861,10861.0,0.00011110305786132812
MAT,0,11150,11150.0,9.560585021972656e-05
OCOLAT,0,10957,10957.0,0.00010895729064941406
TO,0,22300,11150.0,9.465217590332031e-05
KI,0,10729,10729.0,9.202957153320312e-05
ALLI,0,10718,10718.0,9.274482727050781e-05
TAN,0,11075,11075.0,9.250640869140625e-05
ENRO,0,10842,10842.0,9.250640869140625e-05
RQUOI,0,11014,11014.0,9.34600830078125e-05
HARTRE,0,10861,10861.0,0.00010800361633300781
FIRE,0,10904,10904.0,9.512901306152344e-05
RNFLOWER,0,10935,10935.0,0.0001201629638671875
RNFLOWE,0,10935,10935.0,0.00011181831359863281
RTR,0,10861,10861.0,9.131431579589844e-05
BURNI,0,10838,10838.0,9.131431579589844e-05
IDNI,0,11011,11011.0,8.797645568847656e-05
DAR,0,10723,10723.0,8.726119995117188e-05
TREUSE,0,10861,10861.0,0.000102996826171875
SAN,0,10887,10887.0,8.893013000488281e-05
QUE,0,21737,21293.0,8.797645568847656e-05
EACH,0,10835,10835.0,0.00010824203491210938
RIN,0,21552,21092.0,9.393692016601562e-05
SHEL,0,10969,10969.0,9.846687316894531e-05
ARTREUSE,0,10861,10861.0,0.00011539459228515625
MO,0,54251,49678.0,9.5367431640625e-05
PAPAY,0,10912,10912.0,9.417533874511719e-05
ORN,0,21668,21212.0,9.417533874511719e-05
FO,0,21697,21263.0,9.274482727050781e-05
DNIGH,0,11011,11011.0,9.34600830078125e-05
SY,0,10971,10971.0,9.226799011230469e-05
VENDER,0,10938,10938.0,0.00010895729064941406
LDE,0,10842,10842.0,9.393692016601562e-05
HARTREUS,0,10861,10861.0,0.00011301040649414062
MOCCAS,0,10825,10825.0,0.00011849403381347656
SMOK,0,10736,10736.0,8.916854858398438e-05
B,0,130323,102253.0,8.749961853027344e-05
NISHED,0,10838,10838.0,0.00010132789611816406
LYWO,0,10969,10969.0,8.869171142578125e-05
PRI,0,10825,10825.0,8.749961853027344e-05
BEIG,0,10876,10876.0,8.797645568847656e-05
