s_q, ground_truth, estimate, latency
PEACH,10835.0,10834.0,3.361701965332031e-05
TREUS,10861.0,10861.0,3.337860107421875e-05
NNA,10960.0,10960.0,5.245208740234375e-06
IQU,10869.0,10869.0,4.76837158203125e-06
OC,21280.0,21280.0,4.5299530029296875e-06
LYW,10969.0,10969.0,4.76837158203125e-06
RTRE,10861.0,10861.0,2.09808349609375e-05
EN,58165.0,58165.0,4.291534423828125e-06
ACK,10869.0,10869.0,4.5299530029296875e-06
ALE,10836.0,10836.0,4.0531158447265625e-06
ZU,10880.0,10880.0,3.814697265625e-06
STLE,10867.0,10867.0,1.8596649169921875e-05
RO,74198.0,74198.0,4.0531158447265625e-06
VENDE,10938.0,10938.0,3.0517578125e-05
BEIGE,10876.0,10876.0,3.24249267578125e-05
GHO,10831.0,10831.0,4.76837158203125e-06
RP,10926.0,10926.0,4.291534423828125e-06
YWOOD,10969.0,10969.0,3.4332275390625e-05
CC,10825.0,10825.0,4.291534423828125e-06
P,95606.0,95606.0,3.814697265625e-06
PER,10826.0,10826.0,5.0067901611328125e-06
NSBOR,10635.0,10635.0,3.457069396972656e-05
IN,73866.0,73866.0,5.0067901611328125e-06
CREAM,10834.0,10834.0,3.1948089599609375e-05
WO,10969.0,10969.0,4.291534423828125e-06
ASHE,10969.0,10969.0,1.8835067749023438e-05
MOCCASI,10825.0,10824.0,5.626678466796875e-05
SLATE,10822.0,10822.0,3.24249267578125e-05
MISTY,10963.0,10962.0,2.9802322387695312e-05
SADDLE,10947.0,10946.0,4.38690185546875e-05
AR,40491.0,40491.0,4.76837158203125e-06
URL,10969.0,10969.0,5.0067901611328125e-06
EP,10782.0,10782.0,4.291534423828125e-06
OT,10995.0,10995.0,4.0531158447265625e-06
MON,31277.0,31277.0,5.0067901611328125e-06
TALLIC,10718.0,10718.0,4.220008850097656e-05
FIREBRIC,10904.0,10904.0,7.033348083496094e-05
IAN,10657.0,10657.0,5.4836273193359375e-06
FROSTE,10800.0,10799.0,4.291534423828125e-05
RK,10723.0,10723.0,4.76837158203125e-06
CCASI,10825.0,10825.0,3.0994415283203125e-05
ETALLI,10718.0,10718.0,4.1961669921875e-05
OCC,10825.0,10825.0,4.5299530029296875e-06
AVY,10880.0,10880.0,4.5299530029296875e-06
ASHEL,10969.0,10968.0,3.0040740966796875e-05
ORNF,10935.0,10935.0,2.0265579223632812e-05
ORY,10640.0,10640.0,5.0067901611328125e-06
RI,31077.0,31077.0,4.5299530029296875e-06
OWD,10905.0,10905.0,4.5299530029296875e-06
BI,10868.0,10868.0,4.0531158447265625e-06
AMARINE,10727.0,10726.0,5.9604644775390625e-05
YAL,10756.0,10756.0,6.198883056640625e-06
LU,30910.0,30910.0,4.0531158447265625e-06
OOD,10969.0,10969.0,4.76837158203125e-06
OL,40604.0,40604.0,4.0531158447265625e-06
CORNSI,10733.0,10733.0,4.5299530029296875e-05
FLORAL,10804.0,10803.0,4.482269287109375e-05
BRIC,10904.0,10904.0,1.8835067749023438e-05
PINK,10856.0,10856.0,1.9788742065429688e-05
RANG,11007.0,11007.0,2.0503997802734375e-05
AMAR,10727.0,10727.0,1.9311904907226562e-05
SIEN,10960.0,10960.0,1.9311904907226562e-05
REEN,10664.0,10664.0,1.9311904907226562e-05
COR,31209.0,31209.0,5.4836273193359375e-06
EY,21320.0,21320.0,4.291534423828125e-06
UOISE,11014.0,11014.0,3.3855438232421875e-05
RQUO,11014.0,11014.0,1.9788742065429688e-05
NT,31208.0,31208.0,4.5299530029296875e-06
DL,10947.0,10947.0,4.5299530029296875e-06
STED,10800.0,10800.0,2.002716064453125e-05
ETAL,10718.0,10718.0,1.7881393432617188e-05
CORA,10936.0,10936.0,1.8358230590820312e-05
INS,10635.0,10635.0,5.0067901611328125e-06
ORAN,11007.0,11007.0,1.811981201171875e-05
ORCH,11010.0,11010.0,1.811981201171875e-05
ASIN,10825.0,10825.0,1.8358230590820312e-05
MAG,10828.0,10828.0,5.0067901611328125e-06
SIENNA,10960.0,10960.0,4.291534423828125e-05
YAN,11082.0,11082.0,5.4836273193359375e-06
FON,10960.0,10960.0,4.76837158203125e-06
AP,10912.0,10912.0,3.814697265625e-06
ANGE,11007.0,11007.0,1.8835067749023438e-05
FRO,10800.0,10800.0,5.0067901611328125e-06
EDIUM,10852.0,10852.0,3.218650817871094e-05
AZUR,10880.0,10880.0,2.0265579223632812e-05
TA,31170.0,31170.0,4.5299530029296875e-06
EAS,10969.0,10969.0,4.5299530029296875e-06
ORCHID,11010.0,11010.0,4.4345855712890625e-05
APAYA,10912.0,10912.0,3.409385681152344e-05
LOW,21387.0,21387.0,5.245208740234375e-06
BISQUE,10868.0,10868.0,4.458427429199219e-05
PRING,10825.0,10824.0,3.0040740966796875e-05
ODGER,11014.0,11014.0,3.266334533691406e-05
ONEYDEW,10906.0,10906.0,5.6743621826171875e-05
OCOL,10957.0,10957.0,2.0265579223632812e-05
AD,10947.0,10947.0,4.291534423828125e-06
REY,10929.0,10929.0,5.0067901611328125e-06
NAVAJ,10922.0,10922.0,3.24249267578125e-05
GAINSBO,10635.0,10635.0,5.698204040527344e-05
AN,66922.0,66922.0,4.291534423828125e-06
RNFLO,10935.0,10935.0,3.266334533691406e-05
ICK,10904.0,10904.0,5.7220458984375e-06
LIGHT,10820.0,10820.0,3.0279159545898438e-05
BRO,10976.0,10976.0,5.4836273193359375e-06
NR,10842.0,10842.0,4.0531158447265625e-06
GR,21148.0,21148.0,4.291534423828125e-06
CHARTREU,10861.0,10861.0,6.842613220214844e-05
LANCHE,10965.0,10965.0,4.5299530029296875e-05
NCH,10965.0,10965.0,5.0067901611328125e-06
PL,21275.0,21275.0,4.5299530029296875e-06
LL,31237.0,31237.0,3.814697265625e-06
MA,40808.0,40808.0,3.814697265625e-06
HART,10861.0,10861.0,1.8596649169921875e-05
OW,49990.0,49990.0,4.0531158447265625e-06
UFF,10836.0,10836.0,4.76837158203125e-06
IEN,10960.0,10960.0,4.0531158447265625e-06
ENNA,10960.0,10960.0,1.8358230590820312e-05
IDN,11011.0,11011.0,4.76837158203125e-06
IOL,10923.0,10923.0,4.291534423828125e-06
MOKE,10736.0,10736.0,1.8835067749023438e-05
MIDNI,11011.0,11011.0,3.0994415283203125e-05
D,147196.0,147196.0,3.814697265625e-06
IU,10852.0,10852.0,4.0531158447265625e-06
YDE,10906.0,10906.0,4.5299530029296875e-06
TURQ,11014.0,11014.0,1.8835067749023438e-05
IS,49903.0,49903.0,4.0531158447265625e-06
ELLO,10992.0,10992.0,1.7881393432617188e-05
MIN,10891.0,10891.0,4.76837158203125e-06
NAVA,10922.0,10922.0,1.7642974853515625e-05
OWDE,10905.0,10905.0,2.002716064453125e-05
ANDY,10887.0,10887.0,1.8596649169921875e-05
PERU,10826.0,10826.0,1.9311904907226562e-05
FLO,21255.0,21255.0,4.5299530029296875e-06
NI,21352.0,21352.0,4.291534423828125e-06
OCCA,10825.0,10825.0,1.7881393432617188e-05
KH,10729.0,10729.0,4.291534423828125e-06
LUS,10614.0,10614.0,4.76837158203125e-06
AT,40957.0,40957.0,3.814697265625e-06
ENN,10960.0,10960.0,4.291534423828125e-06
VEND,10938.0,10938.0,1.8596649169921875e-05
CHIF,10960.0,10960.0,1.7404556274414062e-05
EBRI,10904.0,10904.0,1.811981201171875e-05
ING,10825.0,10825.0,4.76837158203125e-06
SHELL,10969.0,10969.0,3.0517578125e-05
LA,66843.0,66843.0,4.5299530029296875e-06
CHARTRE,10861.0,10861.0,5.364418029785156e-05
DNIGHT,11011.0,11011.0,4.267692565917969e-05
CORN,21212.0,21668.0,1.8596649169921875e-05
COL,10957.0,10957.0,4.76837158203125e-06
W,89229.0,89229.0,3.5762786865234375e-06
SM,10736.0,10736.0,4.0531158447265625e-06
CK,21267.0,21267.0,3.5762786865234375e-06
OK,10736.0,10736.0,3.5762786865234375e-06
HIFFON,10960.0,10960.0,4.38690185546875e-05
ENT,10828.0,10828.0,5.0067901611328125e-06
SBO,10635.0,10635.0,4.291534423828125e-06
WER,10935.0,10935.0,4.291534423828125e-06
IREBRICK,10904.0,10904.0,6.67572021484375e-05
LEMO,10893.0,10893.0,1.811981201171875e-05
POWD,10905.0,10905.0,1.8596649169921875e-05
ISE,11014.0,11014.0,4.76837158203125e-06
STE,21066.0,21066.0,4.5299530029296875e-06
AYA,10912.0,10912.0,4.291534423828125e-06
NIGH,11011.0,11011.0,1.8596649169921875e-05
ROSTE,10800.0,10799.0,2.9325485229492188e-05
ANCHE,10965.0,10965.0,3.0040740966796875e-05
WHIT,10885.0,10885.0,1.811981201171875e-05
MEDI,10852.0,10852.0,1.8358230590820312e-05
DE,49743.0,49743.0,4.291534423828125e-06
SNOW,10887.0,10887.0,1.811981201171875e-05
ARINE,10727.0,10726.0,3.0517578125e-05
SPRIN,10825.0,10825.0,3.147125244140625e-05
ALM,21345.0,21345.0,5.4836273193359375e-06
AQ,10727.0,10727.0,4.0531158447265625e-06
ISHE,10838.0,10838.0,1.811981201171875e-05
RNSIL,10733.0,10733.0,3.0279159545898438e-05
HIFFO,10960.0,10960.0,2.9802322387695312e-05
TREU,10861.0,10861.0,1.811981201171875e-05
BU,21367.0,21367.0,4.76837158203125e-06
ALL,10718.0,10718.0,4.291534423828125e-06
IG,31344.0,31344.0,3.814697265625e-06
OLA,10957.0,10957.0,4.5299530029296875e-06
LEM,10893.0,10893.0,5.0067901611328125e-06
IFFO,10960.0,10960.0,1.811981201171875e-05
URN,10838.0,10838.0,4.76837158203125e-06
LD,10842.0,10842.0,3.814697265625e-06
GE,40944.0,40944.0,4.0531158447265625e-06
BORO,10635.0,10635.0,1.8835067749023438e-05
NEN,10873.0,10873.0,4.5299530029296875e-06
CHA,10861.0,10861.0,4.291534423828125e-06
OLDENR,10842.0,10842.0,4.410743713378906e-05
ERU,10826.0,10826.0,4.5299530029296875e-06
LLI,10718.0,10718.0,4.0531158447265625e-06
QUO,11014.0,11014.0,4.291534423828125e-06
VIOLE,10923.0,10923.0,3.170967102050781e-05
CA,10825.0,10825.0,4.0531158447265625e-06
EASH,10969.0,10969.0,1.8358230590820312e-05
OST,21146.0,21146.0,4.5299530029296875e-06
LAN,10965.0,10965.0,4.291534423828125e-06
DO,11014.0,11014.0,3.814697265625e-06
INDI,10657.0,10657.0,1.7881393432617188e-05
TIQUE,10869.0,10869.0,3.170967102050781e-05
ASI,10825.0,10825.0,4.5299530029296875e-06
DODGE,11014.0,11014.0,3.0517578125e-05
EAM,10834.0,10834.0,4.5299530029296875e-06
URQUOIS,11014.0,11014.0,5.459785461425781e-05
ISQ,10868.0,10868.0,4.5299530029296875e-06
ANCHED,10965.0,10965.0,4.2438507080078125e-05
LDEN,10842.0,10842.0,1.811981201171875e-05
DEW,10906.0,10906.0,5.0067901611328125e-06
GA,10635.0,10635.0,4.291534423828125e-06
CORNFLO,10935.0,10935.0,5.53131103515625e-05
OSTED,10800.0,10800.0,3.0279159545898438e-05
GOLDENRO,10842.0,10842.0,6.651878356933594e-05
RQUOISE,11014.0,11014.0,6.103515625e-05
CREA,10834.0,10834.0,1.9073486328125e-05
QUA,10727.0,10727.0,5.245208740234375e-06
HISTLE,10867.0,10867.0,4.3392181396484375e-05
ROSE,10793.0,10793.0,1.9073486328125e-05
EA,40680.0,40680.0,4.5299530029296875e-06
ORO,10635.0,10635.0,4.76837158203125e-06
OMAT,11150.0,11150.0,1.9311904907226562e-05
SANDY,10887.0,10887.0,3.1948089599609375e-05
FFON,10960.0,10960.0,1.7642974853515625e-05
BURNIS,10838.0,10838.0,4.38690185546875e-05
IDNIGH,11011.0,11011.0,4.267692565917969e-05
BURNISHE,10838.0,10838.0,6.4849853515625e-05
WOO,10969.0,10969.0,5.245208740234375e-06
PEAC,10835.0,10835.0,1.9311904907226562e-05
PE,21160.0,21160.0,4.5299530029296875e-06
HEAT,10793.0,10793.0,1.8596649169921875e-05
SHED,10838.0,10838.0,1.811981201171875e-05
AMARI,10727.0,10727.0,3.123283386230469e-05
EEN,10664.0,10664.0,5.4836273193359375e-06
ARTREU,10861.0,10861.0,4.2438507080078125e-05
RNS,10733.0,10733.0,5.0067901611328125e-06
SMOKE,10736.0,10736.0,3.147125244140625e-05
PIN,10856.0,10856.0,5.0067901611328125e-06
VE,21140.0,21140.0,4.0531158447265625e-06
BRICK,10904.0,10904.0,3.075599670410156e-05
WHITE,10885.0,10885.0,2.9802322387695312e-05
IV,20821.0,20821.0,4.76837158203125e-06
ORANGE,11007.0,11007.0,4.220008850097656e-05
K,74007.0,74007.0,4.5299530029296875e-06
INT,10891.0,10891.0,4.291534423828125e-06
RNSILK,10733.0,10733.0,4.2438507080078125e-05
LANCHED,10965.0,10965.0,5.316734313964844e-05
ARTREUS,10861.0,10861.0,5.435943603515625e-05
MEDIUM,10852.0,10852.0,4.172325134277344e-05
URQUOI,11014.0,11014.0,4.100799560546875e-05
HAK,10729.0,10729.0,5.4836273193359375e-06
CHART,10861.0,10861.0,3.0040740966796875e-05
LLIC,10718.0,10718.0,1.8835067749023438e-05
MIDNIGH,11011.0,11011.0,5.364418029785156e-05
OS,40598.0,40598.0,4.76837158203125e-06
AMARIN,10727.0,10726.0,4.124641418457031e-05
CORNFLOW,10935.0,10934.0,6.29425048828125e-05
AIN,10635.0,10635.0,5.4836273193359375e-06
DG,11014.0,11014.0,4.0531158447265625e-06
AVAJ,10922.0,10922.0,1.9073486328125e-05
BISQ,10868.0,10868.0,1.8358230590820312e-05
TRE,10861.0,10861.0,5.0067901611328125e-06
YELL,10992.0,10992.0,1.8358230590820312e-05
CCAS,10825.0,10825.0,1.9311904907226562e-05
OCO,10957.0,10957.0,5.0067901611328125e-06
IUM,10852.0,10852.0,4.76837158203125e-06
ORAL,21239.0,21739.0,1.8358230590820312e-05
SEAS,10969.0,10969.0,1.8835067749023438e-05
SAND,10887.0,10887.0,1.811981201171875e-05
SI,31078.0,31078.0,4.5299530029296875e-06
IR,10904.0,10904.0,4.0531158447265625e-06
FORES,10737.0,10737.0,3.147125244140625e-05
ISQUE,10868.0,10868.0,3.0517578125e-05
LOWE,10935.0,10935.0,1.9073486328125e-05
YWOO,10969.0,10969.0,1.8596649169921875e-05
ALMO,21345.0,21797.0,1.8835067749023438e-05
HOCOL,10957.0,10956.0,3.0994415283203125e-05
DRAB,10938.0,10938.0,1.9073486328125e-05
FLOWER,10935.0,10934.0,4.0531158447265625e-05
IGHT,21366.0,21831.0,1.9073486328125e-05
NSI,10733.0,10733.0,4.76837158203125e-06
NCHE,10965.0,10965.0,1.7881393432617188e-05
MED,10852.0,10852.0,5.0067901611328125e-06
SK,10822.0,10822.0,4.0531158447265625e-06
PUF,10836.0,10836.0,4.5299530029296875e-06
GAINSBOR,10635.0,10635.0,6.866455078125e-05
ENTA,10828.0,10828.0,1.9073486328125e-05
CORNSILK,10733.0,10733.0,6.437301635742188e-05
ENDE,10938.0,10938.0,1.811981201171875e-05
BLANCH,10965.0,10965.0,4.172325134277344e-05
RQU,11014.0,11014.0,5.0067901611328125e-06
AROON,10963.0,10963.0,3.170967102050781e-05
ATO,11150.0,11150.0,5.4836273193359375e-06
NTIQU,10869.0,10869.0,3.075599670410156e-05
VIOLET,10923.0,10923.0,4.267692565917969e-05
HIF,10960.0,10960.0,5.0067901611328125e-06
SALMON,10827.0,10827.0,4.4345855712890625e-05
CH,58630.0,58630.0,4.291534423828125e-06
RNI,10838.0,10838.0,4.76837158203125e-06
UOIS,11014.0,11014.0,1.8358230590820312e-05
INSBO,10635.0,10635.0,2.9802322387695312e-05
PA,21254.0,21254.0,4.76837158203125e-06
LE,58653.0,58653.0,3.814697265625e-06
MOCC,10825.0,10824.0,1.9073486328125e-05
ORA,31313.0,31313.0,4.76837158203125e-06
SBOR,10635.0,10635.0,1.7881393432617188e-05
GENTA,10828.0,10828.0,3.0994415283203125e-05
NSB,10635.0,10635.0,4.76837158203125e-06
NFLOWE,10935.0,10934.0,4.0531158447265625e-05
MET,10718.0,10718.0,5.4836273193359375e-06
PUFF,10836.0,10836.0,1.8596649169921875e-05
DENROD,10842.0,10842.0,4.267692565917969e-05
HON,10906.0,10906.0,5.0067901611328125e-06
TU,11014.0,11014.0,4.291534423828125e-06
BUR,21367.0,21367.0,4.5299530029296875e-06
AGENT,10828.0,10828.0,3.0994415283203125e-05
URLYWO,10969.0,10969.0,4.482269287109375e-05
RING,10825.0,10825.0,1.811981201171875e-05
TURQU,11014.0,11014.0,2.956390380859375e-05
TAL,10718.0,10718.0,5.0067901611328125e-06
URLYWOOD,10969.0,10969.0,6.508827209472656e-05
ACE,10907.0,10907.0,4.76837158203125e-06
LIC,10718.0,10718.0,4.291534423828125e-06
F,66665.0,66665.0,3.5762786865234375e-06
NDY,10887.0,10887.0,4.0531158447265625e-06
IGE,10876.0,10876.0,4.291534423828125e-06
ENDER,10938.0,10938.0,3.123283386230469e-05
AG,10828.0,10828.0,4.291534423828125e-06
CORNF,10935.0,10935.0,3.0279159545898438e-05
MOC,10825.0,10825.0,5.4836273193359375e-06
VAJO,10922.0,10921.0,1.8596649169921875e-05
WHE,10793.0,10793.0,5.0067901611328125e-06
SILK,10733.0,10733.0,1.7642974853515625e-05
GEN,10828.0,10828.0,4.76837158203125e-06
TOMA,11150.0,11150.0,1.8835067749023438e-05
LIME,10785.0,10785.0,1.8835067749023438e-05
BLAC,10869.0,10869.0,1.8596649169921875e-05
YA,31333.0,31333.0,4.5299530029296875e-06
ORNFL,10935.0,10935.0,2.9802322387695312e-05
HED,21330.0,21330.0,4.76837158203125e-06
DY,10887.0,10887.0,3.814697265625e-06
ORES,10737.0,10737.0,1.8358230590820312e-05
LAV,10938.0,10938.0,4.76837158203125e-06
LET,10923.0,10923.0,4.5299530029296875e-06
RINE,10727.0,10727.0,1.811981201171875e-05
LEMON,10893.0,10893.0,3.0517578125e-05
AND,10887.0,10887.0,4.76837158203125e-06
RNSI,10733.0,10733.0,1.7881393432617188e-05
TLE,10867.0,10867.0,5.0067901611328125e-06
FROSTED,10800.0,10799.0,5.364418029785156e-05
LOR,10804.0,10804.0,4.76837158203125e-06
LACK,10869.0,10869.0,1.8358230590820312e-05
SPRING,10825.0,10824.0,4.0531158447265625e-05
LUE,10871.0,10871.0,4.76837158203125e-06
LIV,10683.0,10683.0,4.5299530029296875e-06
EIGE,10876.0,10876.0,1.8358230590820312e-05
SIN,10825.0,10825.0,4.291534423828125e-06
TY,10963.0,10963.0,3.814697265625e-06
LAVEND,10938.0,10938.0,4.4345855712890625e-05
SE,40835.0,40835.0,4.291534423828125e-06
RLYWOOD,10969.0,10969.0,5.3882598876953125e-05
ODG,11014.0,11014.0,5.0067901611328125e-06
HOCOLATE,10957.0,10956.0,6.67572021484375e-05
SALM,10827.0,10827.0,1.8358230590820312e-05
NFLOWER,10935.0,10934.0,5.1975250244140625e-05
NDE,10938.0,10938.0,4.5299530029296875e-06
ORNFLOW,10935.0,10934.0,5.1021575927734375e-05
WOOD,10969.0,10969.0,1.7881393432617188e-05
HONEY,10906.0,10906.0,3.0279159545898438e-05
PRIN,10825.0,10825.0,1.811981201171875e-05
PAYA,10912.0,10912.0,1.8358230590820312e-05
LLOW,10992.0,10992.0,1.7642974853515625e-05
OND,10970.0,10970.0,4.76837158203125e-06
REST,10737.0,10737.0,1.8596649169921875e-05
DER,21375.0,21375.0,4.5299530029296875e-06
ODGE,11014.0,11014.0,1.7881393432617188e-05
QUAMAR,10727.0,10726.0,4.506111145019531e-05
NN,10960.0,10960.0,4.5299530029296875e-06
G,102177.0,102177.0,3.5762786865234375e-06
ANCH,10965.0,10965.0,1.7642974853515625e-05
NSBORO,10635.0,10635.0,4.220008850097656e-05
IL,10733.0,10733.0,4.291534423828125e-06
RNISHED,10838.0,10838.0,5.459785461425781e-05
RNISHE,10838.0,10838.0,4.1484832763671875e-05
SALMO,10827.0,10827.0,3.0040740966796875e-05
RTREU,10861.0,10861.0,3.075599670410156e-05
THI,10867.0,10867.0,4.76837158203125e-06
METALLI,10718.0,10718.0,5.435943603515625e-05
CHOCOLAT,10957.0,10956.0,6.437301635742188e-05
FLOWE,10935.0,10934.0,2.9087066650390625e-05
LIGH,10820.0,10820.0,1.811981201171875e-05
GO,10842.0,10842.0,4.76837158203125e-06
QUOIS,11014.0,11014.0,3.0040740966796875e-05
BLACK,10869.0,10868.0,2.86102294921875e-05
DGE,11014.0,11014.0,4.5299530029296875e-06
HT,21366.0,21366.0,4.291534423828125e-06
BLA,21350.0,21350.0,4.76837158203125e-06
ATE,21321.0,21321.0,4.291534423828125e-06
OISE,11014.0,11014.0,1.8358230590820312e-05
GAI,10635.0,10635.0,5.245208740234375e-06
WHEAT,10793.0,10793.0,3.600120544433594e-05
PLU,10818.0,10818.0,5.4836273193359375e-06
CE,10907.0,10907.0,4.0531158447265625e-06
RLY,10969.0,10969.0,4.5299530029296875e-06
ISTL,10867.0,10867.0,1.8358230590820312e-05
REUS,10861.0,10861.0,1.811981201171875e-05
CASI,10825.0,10825.0,1.811981201171875e-05
NEYDE,10906.0,10906.0,3.0994415283203125e-05
DNIG,11011.0,11011.0,1.8358230590820312e-05
RLYWOO,10969.0,10969.0,4.172325134277344e-05
CORNSIL,10733.0,10733.0,5.602836608886719e-05
NFLOW,10935.0,10934.0,2.86102294921875e-05
RA,40851.0,40851.0,4.5299530029296875e-06
IVORY,10640.0,10640.0,3.314018249511719e-05
COLAT,10957.0,10957.0,3.0517578125e-05
ONEY,10906.0,10906.0,1.8596649169921875e-05
AV,31286.0,31286.0,4.291534423828125e-06
AWN,10775.0,10775.0,4.76837158203125e-06
DARK,10723.0,10723.0,1.9311904907226562e-05
IA,10657.0,10657.0,4.76837158203125e-06
OWN,10976.0,10976.0,4.5299530029296875e-06
NISHE,10838.0,10838.0,3.0279159545898438e-05
FFO,10960.0,10960.0,5.245208740234375e-06
FOR,10737.0,10737.0,4.76837158203125e-06
IF,10960.0,10960.0,4.0531158447265625e-06
NDIA,10657.0,10657.0,1.8358230590820312e-05
SB,10635.0,10635.0,4.0531158447265625e-06
INSBOR,10635.0,10635.0,4.124641418457031e-05
SNO,10887.0,10887.0,5.0067901611328125e-06
BRI,10904.0,10904.0,4.5299530029296875e-06
FOREST,10737.0,10737.0,4.220008850097656e-05
OLDE,10842.0,10842.0,1.811981201171875e-05
OY,10756.0,10756.0,4.5299530029296875e-06
APAY,10912.0,10912.0,1.8596649169921875e-05
FI,10904.0,10904.0,4.5299530029296875e-06
NRO,10842.0,10842.0,4.291534423828125e-06
NOW,10887.0,10887.0,4.291534423828125e-06
RNF,10935.0,10935.0,4.0531158447265625e-06
ONEYDE,10906.0,10906.0,4.124641418457031e-05
THIST,10867.0,10867.0,3.0279159545898438e-05
SL,10822.0,10822.0,4.5299530029296875e-06
KY,10822.0,10822.0,4.5299530029296875e-06
RNFLOW,10935.0,10934.0,3.910064697265625e-05
PI,10856.0,10856.0,4.0531158447265625e-06
BE,10876.0,10876.0,4.291534423828125e-06
ARO,10963.0,10963.0,4.291534423828125e-06
INSB,10635.0,10635.0,1.7881393432617188e-05
SPR,10825.0,10825.0,5.0067901611328125e-06
AL,66507.0,66507.0,3.814697265625e-06
AGENTA,10828.0,10828.0,4.220008850097656e-05
DA,10723.0,10723.0,4.5299530029296875e-06
EUSE,10861.0,10861.0,1.8358230590820312e-05
POW,10905.0,10905.0,5.0067901611328125e-06
RTREUS,10861.0,10861.0,4.1484832763671875e-05
MAT,11150.0,11150.0,4.76837158203125e-06
OCOLAT,10957.0,10957.0,4.172325134277344e-05
TO,11150.0,11150.0,4.0531158447265625e-06
KI,10729.0,10729.0,4.0531158447265625e-06
ALLI,10718.0,10718.0,1.811981201171875e-05
TAN,11075.0,11075.0,4.76837158203125e-06
ENRO,10842.0,10842.0,1.8596649169921875e-05
RQUOI,11014.0,11014.0,3.0279159545898438e-05
HARTRE,10861.0,10861.0,4.2438507080078125e-05
FIRE,10904.0,10904.0,1.8358230590820312e-05
RNFLOWER,10935.0,10934.0,6.246566772460938e-05
RNFLOWE,10935.0,10934.0,5.14984130859375e-05
RTR,10861.0,10861.0,5.0067901611328125e-06
BURNI,10838.0,10838.0,3.0040740966796875e-05
IDNI,11011.0,11011.0,1.8358230590820312e-05
DAR,10723.0,10723.0,4.76837158203125e-06
TREUSE,10861.0,10861.0,4.172325134277344e-05
SAN,10887.0,10887.0,4.76837158203125e-06
QUE,21293.0,21293.0,4.76837158203125e-06
EACH,10835.0,10834.0,1.811981201171875e-05
RIN,21092.0,21092.0,4.76837158203125e-06
SHEL,10969.0,10969.0,1.7404556274414062e-05
ARTREUSE,10861.0,10861.0,6.413459777832031e-05
MO,49678.0,49678.0,4.5299530029296875e-06
